,Moises Alou,Rich Aurilia,Jeff Bagwell,Craig Biggio,Barry Bonds,Aaron Boone,Tony Clark,Roger Clemens,Carlos Delgado,Jermaine Dye,Darin Erstad,Cliff Floyd,"Nomar Garcia-parra",Brian Giles,Tom Gordon,Eddie Guardado,Randy Johnson,Jeff Kent,Edgar Martinez,Pedro Martinez,Don Mattingly,Fred McGriff,Mark McGwire,Jack Morris,Mike Mussina,Troy Percival,Mike Piazza,Tim Raines,Curt Schilling,Jason Schmidt,Gary Sheffield,Lee Smith,John Smoltz,Sammy Sosa,Alan Trammell,Larry Walker,Known Votes,"Will no longer reveal ballots:Bob Smizik, Patrick Reusse (?), Mike Downey, Gene Collier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Voters who shared ballots, but aren't on BBWAA's list of received/counted ballots: Steve SerbyJohn Lopez",,,,,,,,,,,,,,,,,,,,,,,,,,
% on Public Ballots,,0.00%,60.73%,85.80%,39.27%,0.30%,0.00%,39.27%,2.11%,0.00%,0.00%,0.00%,2.42%,0.00%,0.30%,0.00%,99.09%,13.90%,27.49%,98.19%,6.65%,12.69%,9.37%,0.00%,30.21%,0.30%,75.23%,60.12%,45.62%,0.00%,10.27%,25.08%,87.92%,5.14%,25.08%,8.76%,"4,623.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry Rozner,,,,1,1,,,,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,1,1,,,,10,http://bit.ly/1AHxh3S,12/20/14,,13,0,13,13,9,0,9,0,7,7,7,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,100,23,19,15,15,9,7,7,5,0,5,3,0,0,3,0,0,0,0,0,0,0,0,0,Chicago,
Adam Rubin,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,1,,,,1,,,,10,http://es.pn/15mV27r,11/25/14,,13,13,13,13,9,9,9,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,23,19,15,15,9,7,7,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,New York,
Bob Ryan,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,,,1,1,1,,,,1,,1,,10,http://bit.ly/13BLqVa,12/23/14,,0,0,13,13,9,9,9,7,7,0,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,100,23,19,15,15,9,7,7,5,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,Boston,
Roger Rubin,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,,,1,,1,,,,1,,,,8,http://nydn.us/1AzWRtJ,1/6/15,,0,0,13,13,9,9,0,0,7,0,7,7,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,65,89,23,19,15,15,9,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,New York,
Bob Sansevere,,,,1,1,,,1,,,,,,,,,1,,,1,,,,,1,,1,,1,,,,1,1,,,10,http://bit.ly/1Hd2mjH,12/29/14,,13,13,13,13,9,0,0,0,7,7,7,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,98,23,19,15,15,9,7,0,5,5,5,0,0,0,3,0,0,0,0,0,0,1,0,0,Minneapolis ,
Mark Saxon,,,1,1,1,,,1,,,,,,,,,1,1,,1,,,,,,,1,1,,,,,1,,,,10,http://bit.ly/1tgaF65,12/27/14,,13,13,13,13,9,9,9,0,0,0,7,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,100,23,19,15,15,9,7,7,0,5,5,0,0,0,0,2,0,0,0,0,0,0,0,0,LA-Anaheim,
Jeff Schultz,,,,1,,,,,,,,,,,,,1,,,1,,1,,,,,,1,1,,,,1,,1,,8,http://on-ajc.com/1xwPv9r,1/5/15,,0,0,13,13,0,0,9,7,7,0,7,7,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,62,94,23,19,15,15,0,7,7,5,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,Atlanta,
Mike Shalin,,,,,1,,,1,,,,,,,,,1,,1,1,1,,,,,,1,1,1,,,,1,,,,10,Facebook,12/24/14,,13,13,13,13,9,0,9,0,7,0,7,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,90,23,19,15,0,9,7,7,5,5,5,0,3,0,0,0,0,0,0,0,1,0,0,0,New York,
Dan Shaughnessy,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,1,,,,1,,1,,6,http://bit.ly/1uWrFyM,12/16/14,,0,0,13,13,0,0,9,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,-16,40,72,23,19,15,0,0,0,7,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Boston,
Joel Sherman,,,,1,1,,,1,,,,,,,,,1,,1,1,,,,,,,,1,1,,,,1,,,,9,http://bit.ly/1wS8fuP,1/6/15,,13,13,13,13,0,0,9,0,7,0,7,7,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,85,94,23,19,15,15,0,0,7,5,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,New York,
Bob Sherwin,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,,,1,,,,,,1,,,,7,http://bit.ly/1DbFy4v,1/5/15,,0,0,13,13,9,9,0,0,0,0,7,7,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,-9,53,91,23,19,15,15,9,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Seattle,
Tom Singer,,,1,1,1,,,1,,,,,,,,,1,1,1,1,,,,,,,1,,,,,1,,,,,10,http://atmlb.com/1AS5UUn,1/5/15,,13,13,13,13,9,9,0,0,0,0,0,7,0,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,82,23,19,0,15,9,0,0,0,5,5,3,3,0,0,2,0,0,0,0,0,0,0,0,Honorary,
Michael Silverman,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,,,,,,10,http://bit.ly/1B8HHJS,12/25/14,,13,13,13,13,9,9,9,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,90,23,19,0,15,9,7,7,5,5,5,0,0,0,3,0,0,0,0,0,0,0,0,0,Boston,
Steve Simmons,,,1,1,,,,,,,,,,,,,1,1,,1,,,,,1,,1,1,1,,,,1,,,,10,http://bit.ly/1zTf3OA,12/21/14,,0,0,13,13,9,9,9,0,7,7,7,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,100,23,19,15,15,9,7,7,5,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,Toronto,
Claire Smith,,,,1,1,,,1,,,,,,,,,1,,1,1,,,,,,,,,,,,1,1,,,,8,http://bit.ly/1BxDBey,1/4/15,,13,13,13,13,0,0,0,0,0,0,7,7,0,4,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,67,88,23,19,15,15,0,0,0,0,5,5,3,3,0,0,0,0,0,0,0,0,0,0,0,Honorary,
Susan Slusser,,,1,1,,,,,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,,1,,,,9,http://bit.ly/1xzmb1O,1/5/15,,0,0,13,13,9,9,9,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,80,100,23,19,15,15,9,7,7,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,SF-Oakland,
Art Spander (Partial?),,,1,,1,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,5,Via email - to the best of his recollection. May have voted Schilling and/or McGwire,12/20/14,,13,13,13,13,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,-25,36,59,23,19,0,0,0,7,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,SF-Oakland,
Lyle Spencer,,,,1,,,,,,,,,,,,,1,,,1,,1,,,1,,1,1,1,,,,1,,1,,10,http://atmlb.com/1AS5UUn,1/5/15,,0,0,13,13,9,0,9,7,7,7,7,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,100,23,19,15,15,9,7,7,5,0,0,0,0,3,3,0,2,0,0,0,0,0,0,0,Honorary,
Barry Stanton,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,1,,,,4,http://es.pn/1rU0d92,1/4/15,,0,0,13,13,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,-36,4,62,23,19,15,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New York,
Jayson Stark,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,1,,,,1,,,,10,http://es.pn/1rU0d92,1/4/15,,13,13,13,13,9,9,9,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,23,19,15,15,9,7,7,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Philadelphia (H),
Carl Steward,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,,,,,1,,1,,10,http://bit.ly/1FRCyae,12/4/14,,13,13,13,13,9,9,9,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,23,19,15,15,9,7,7,0,5,5,0,0,3,0,0,0,0,0,0,0,0,0,0,SF-Oakland,
Larry Stone,,,1,1,1,,,1,,,,,,,,,1,,1,1,,,,,,,1,1,,,,,1,,,,10,http://bit.ly/1wLjImr,12/12/14,,13,13,13,13,9,9,9,0,0,0,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,100,23,19,15,15,9,7,7,0,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,Seattle,
Jim Street ,,,,1,,,,,,,,,1,,,,1,,1,1,,,,,,,1,1,,,,1,1,,,,9,http://bit.ly/17e35o0,1/5/15,,0,0,13,13,9,0,9,0,0,0,7,7,0,4,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,-1,63,94,23,19,15,15,9,0,7,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,Honorary,
Paul Sullivan,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,1,1,,,,6,http://trib.in/1zJsJrv,1/2/15,,0,0,13,13,0,0,9,0,0,0,7,7,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,-16,34,89,23,19,15,15,0,7,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Chicago,
TR Sullivan,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,,,,,,10,Comment #28,12/25/14,,13,13,13,13,9,9,9,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,88,23,19,0,15,9,0,7,5,5,5,0,0,0,3,0,0,0,0,0,0,0,0,0,Dallas,
John Tomase,,,,,1,,,1,,,,,,,,,1,,,1,,,1,,,,1,,1,,1,,1,,1,,10,http://bit.ly/1CXJRAe,1/1/15,,13,13,13,13,9,0,0,7,7,0,7,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,84,23,19,15,0,9,0,0,5,5,5,0,0,3,0,0,0,0,2,1,0,0,0,0,Boston,
Marc Topkin,,,1,1,1,,,1,,,,,,,,,1,,,1,,1,,,,,1,,,,1,,1,,,,10,http://bit.ly/1sNBEWo,12/21/14,,13,13,13,13,9,9,0,0,0,0,7,7,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,93,23,19,15,15,9,0,0,0,5,5,0,0,0,0,0,2,0,2,0,0,0,0,0,Tampa,
Mike Vaccaro,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,1,,,,1,,,,10,http://bit.ly/1v07SO5 / http://bit.ly/1r8GySh,12/19/14,,13,13,13,13,9,9,9,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,98,23,19,15,15,9,0,7,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,New York,
Juan Vené,,,,,,,,,1,,,,,,,,1,,,1,,1,,,,,,,,,,1,1,,,,6,http://bit.ly/1xoKIoZ,12/27/14,,0,0,13,13,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,4,-16,22,70,23,19,15,0,0,7,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,1,New York,
Tom Verducci,,,1,1,,,,,,,,,,,,,1,1,,1,,1,,,1,,,1,1,,,,1,,,,10,MLB Network,1/2/15,,0,0,13,13,0,9,9,0,7,7,7,7,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,94,23,19,15,15,0,7,7,5,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,New York,
Russ White,,,1,1,,,,,,,,,,,,,1,,,1,,,,,,,1,1,1,,,1,1,,,,9,Email to Ilychs,1/4/15,,0,0,13,13,9,9,9,0,7,0,7,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,74,100,23,19,15,15,9,7,7,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Honorary,
George Willis,,,,1,1,,,1,,,,,,,,,,,,1,,,,,,,1,,,,1,,1,,,,7,http://bit.ly/1wS8fuP,1/6/15,,13,13,0,13,9,0,0,0,0,0,7,7,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,-9,56,77,0,19,15,15,9,7,0,0,5,5,0,0,0,0,0,0,0,2,0,0,0,0,0,New York,
Bernie Wilson,,,1,1,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,1,1,,1,,8,Via email,12/27/14,,0,0,13,13,9,9,0,7,0,0,7,7,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,62,87,23,19,15,15,9,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,San Diego,
Anonymous,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,1,,,,1,1,,,,6,,1/3/15,,0,0,13,13,0,0,9,0,0,0,7,0,0,4,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,-16,31,77,23,19,15,0,0,7,7,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,,
,,,"Ballots Revealed After HoF Election Results Were Announced(Know of one I'm missing? Let me know @NotMrTibbs or ryan@bbhoftracker.com) *Revealed first on BBWAA.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Altavilla,,,,1,,,,,,,,,,,,,1,,1,1,,,,,,,1,,,,,,1,,,,6,http://cour.at/1w0UaLt,1/6/15,,0,0,13,13,9,0,0,0,0,0,7,7,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,-16,37,84,23,19,15,15,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Boston,
Dom Amore,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,1,,,,1,,,,10,http://cour.at/1w0UaLt,1/6/15,,0,0,13,13,9,9,9,0,7,7,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,96,23,19,15,15,9,0,7,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,Boston,
Jamie Aron*,,,1,1,,,,,,,,,,,,,1,,,1,,,,,,,,1,1,,,1,1,,1,,9,BBWAA.com,1/10/15,,0,0,13,13,0,9,9,7,7,0,7,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,72,94,23,19,15,15,0,7,7,5,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,Dallas (H),
Andrew Baggarly,,,1,1,1,,,1,,,,,,,,,1,,1,1,,,,,,,1,1,,,,,1,,,,10,http://bit.ly/13XJar6,1/6/15,,13,13,13,13,9,9,9,0,0,0,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,100,23,19,15,15,9,7,7,0,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,SF-Oakland,
Geoff Baker,,,1,1,,,,,,,,,,,,,1,,,1,,,,,,,,1,1,,,,,,1,,7,http://bit.ly/1DhtYVn,1/6/15,,0,0,13,13,0,9,9,7,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,-9,56,79,23,19,0,15,0,7,7,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Seattle,
David Barron*,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,,,,,,10,BBWAA.com,1/8/15,,13,13,13,13,9,9,9,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,90,23,19,0,15,9,7,7,5,5,5,0,0,0,3,0,0,0,0,0,0,0,0,0,Houston,
John Black*,,,,1,1,,,1,,,,,,,,,1,,,1,,,1,,,,1,,,,,1,,,,,8,BBWAA.com,1/8/15,,13,13,13,13,9,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,69,80,23,19,0,15,9,0,0,0,5,5,3,0,0,0,0,0,0,0,1,0,0,0,0,Houston,
Earl Bloom,,,1,1,,,,,,,,,,,,,1,,1,1,,1,,,,,1,1,,,,1,1,,,,10,Direct Message,11/19/15,,0,0,13,13,9,9,9,0,0,0,7,7,0,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,94,23,19,15,15,9,0,7,0,0,0,3,3,0,0,0,2,0,0,0,0,0,0,0,LA-Anaheim,
Paul Bodi*,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,1,,,,5,BBWAA.com,1/8/15,,0,0,13,13,9,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,-25,24,81,23,19,15,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Honorary,
Filip Bondy (Partial 8 of 10),,,,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,,,,,1,1,,,,10,"Via email. Remembers 8 of 10. Debated 5 others, but doesn't remember the final 2 who made the cut. Will take a ballot pic next year.",1/25/15,,13,13,13,13,9,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,98,23,19,15,15,9,7,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,New York,
Scott Bordow,,,,1,,,,,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,,1,,1,,9,http://bit.ly/1xS73wM,1/9/15,,0,0,13,13,9,0,9,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,78,100,23,19,15,15,9,7,7,5,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,Arizona,
Don Bostrom*,,,1,1,1,,,1,,,,,,,,,1,1,,1,,,,,,,1,,,,1,,1,,,,10,BBWAA.com,1/12/15,,13,13,13,13,9,9,0,0,0,0,7,7,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,93,23,19,15,15,9,0,0,0,5,5,0,0,0,0,2,0,0,2,0,0,0,0,0,Honorary,
Patrick Calabria,,,1,1,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,1,,,,6,http://bit.ly/1xkVw54,1/18/15,,0,0,13,13,9,9,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,-16,42,88,23,19,15,15,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Honorary,
Andrew Call,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,1,,,,1,,,,10,Via email,1/17/15,,0,0,13,13,9,9,9,0,7,7,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,100,23,19,15,15,9,7,7,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,Honorary,
Dave Campbell,,,1,1,1,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,1,1,,1,1,10,Via email,1/19/15,,13,13,13,0,9,9,0,7,0,0,7,7,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,82,23,0,15,15,9,7,0,0,5,5,3,0,3,0,0,0,2,0,0,0,0,0,0,Minneapolis ,
Nick Canepa (partial),,,,1,,,,,,,,,,,,,1,,,1,,,,,,,1,,1,,,,1,,1,,7,Did not vote 10. Won't reveal full ballot,1/6/15,,0,0,13,13,9,0,0,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,-9,54,89,23,19,15,15,9,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,San Diego,
Dan Castellano*,,,,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,,,,,,1,,,,7,BBWAA.com,1/10/15,,13,13,13,13,9,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,-9,66,98,23,19,15,15,9,7,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Honorary,
Bill Center,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,1,1,,,,1,1,,1,,8,http://bit.ly/1xqvEoE,1/19/15,,0,0,13,13,9,0,9,7,0,0,7,7,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,62,98,23,19,15,15,9,7,7,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,San Diego (H),
Rich Chere,,,,1,,,,,,,,,,,,,1,1,,1,,,,,,,1,,,,,,1,,,,6,Via email,1/22/15,,0,0,13,13,9,0,0,0,0,0,7,7,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,-16,35,83,23,19,15,15,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,New York (H),
Michael Chesnick*,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,1,,,,1,,,,10,BBWAA.com,1/8/15,,0,0,13,13,9,9,9,0,7,7,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,100,23,19,15,15,9,7,7,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,Arizona (H),
Joe Christensen*,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,,,,,,10,BBWAA.com,1/8/15,,13,13,13,13,9,9,9,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,90,23,19,0,15,9,7,7,5,5,5,0,0,0,3,0,0,0,0,0,0,0,0,0,Minneapolis ,
Bill Christine*,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,,,1,1,,,,,1,,,,8,BBWAA.com,1/8/15,,0,0,13,13,9,9,9,0,0,0,7,7,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,67,91,23,19,15,15,9,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Honorary,
Frank Clines*,,,,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,,,,,1,1,,1,1,10,BBWAA.com,1/8/15,,13,13,13,13,9,0,0,7,0,0,7,7,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,98,23,19,15,15,9,7,0,0,5,5,3,0,3,0,0,0,2,0,0,0,0,0,0,Milwaukee (H),
Dave Cunningham*,,,1,1,1,,,1,,,,,,,,,1,,,1,1,,,,,,1,,,,,,,,,,8,BBWAA.com,1/8/15,,13,13,13,13,9,9,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,74,84,23,19,0,15,9,7,0,0,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,Honorary,
Guy Curtright,,,1,1,,,,,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,1,1,,,,10,http://bit.ly/1ACyefM,1/6/15,,0,0,13,13,9,9,9,0,7,7,7,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,96,23,19,15,15,9,0,7,5,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,Atlanta,
Dave Daniel*,,,,1,1,,,1,,,,,,,,,1,,,1,,,1,,1,,1,,1,,,,1,,,,10,BBWAA.com,1/10/15,,13,13,13,13,9,0,0,0,7,7,7,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,98,23,19,15,15,9,7,0,5,5,5,0,0,0,3,0,0,0,0,1,0,0,0,0,LA-Anaheim,
Art Davidson,,,1,1,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,1,,,,6,http://bit.ly/1tQEyKp,1/9/15,,0,0,13,13,9,9,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,-16,42,88,23,19,15,15,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston,
Mike Deacon,,,1,1,,,,,,,,,,,,,1,1,,1,,,,,1,,1,,,,,1,1,,,,9,Via email,1/10/15,,0,0,13,13,9,9,0,0,0,7,7,7,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,67,89,23,19,15,15,9,0,0,0,0,0,3,0,0,3,2,0,0,0,0,0,0,0,0,Chicago,
Tom Dienhart*,,,,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,,,,1,1,,,,9,BBWAA.com,1/10/15,,13,13,13,13,9,0,9,0,0,0,7,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,84,98,23,19,15,15,9,0,7,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,Honorary,
