"Follow @NotMrTibbs",,,,"Public Ballots:",,,,306,,,Plus,,,4,,,,"% of Ballots Known:",,70.5%,,,,,Votes per Public Ballot:,,,,,8.23,2550,,,LEGEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Anonymous Ballots",,,,,,,Total Ballots Cast: 440,,,,,,,Votes per Non-Public Ballot:,,,,,7.28,7.276923077,,,First Time on Ballot,,"Gained Vote - Voter did not vote for player last year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Dolgan*,,,,1,,1,,,,,1,,,,,1,,1,,1,,1,1,,1,,1,,,,,,10,BBWAA.com/16-hof-ballots/,1/10/16,,0,0,8,8,0,0,0,19,0,0,3,8,0,2,0,16,13,0,2,0,1,0,0,0,77,77,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Jorge Ebro,,,1,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,4,Email,1/14/16,,0,13,0,0,0,0,0,19,13,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,61,61,,,,,,,,,,,,,,,,,,,,,,,,,Miami,,
Bob Elliott*,,,1,1,,1,,,,,1,,,,,1,,,1,,,1,1,,,,,,1,,1,,10,BBWAA.com/16-hof-ballots/,1/6/16,,0,13,8,8,0,0,0,19,0,0,3,0,4,0,0,16,13,0,0,0,0,8,0,3,89,89,,,,,,,,,,,,,,,,,,,,,,,,,Toronto,,
John Erardi,,,1,,,,,,,,1,,,,,,,1,1,,1,1,1,1,,,,,1,,1,,10,Email,1/14/16,,0,13,0,0,0,0,0,19,0,0,0,8,4,0,8,16,13,10,0,0,0,8,0,3,95,95,,,,,,,,,,,,,,,,,,,,,,,,,Cincinnati,,
Martin Fennelly,,,1,,,,,,,,1,,,,,,,,,,,1,1,,,,,,1,,,,5,http://bit.ly/1n8MrhM,1/8/16,,0,13,0,0,0,0,0,19,0,0,0,0,0,0,0,16,13,0,0,0,0,8,0,0,69,69,,,,,,,,,,,,,,,,,,,,,,,,,Tampa,,
Vic Feuerherd,,,1,1,,,,,,,1,,,1,,,,1,,,,1,1,,,1,,,1,1,,,10,Email,1/13/16,,0,13,8,0,0,0,0,19,13,0,0,8,0,0,0,16,13,0,0,6,0,8,2,0,98,98,,,,,,,,,,,,,,,,,,,,,,,,,Milwaukee,,
Ken Fidlin*,,,1,1,,1,,,,,1,,,,,,,,,,1,1,1,1,,,,,,,1,,9,BBWAA.com/16-hof-ballots/,1/6/16,,0,13,8,8,0,0,0,19,0,0,0,0,0,0,8,16,13,10,0,0,0,0,0,3,95,95,,,,,,,,,,,,,,,,,,,,,,,,,Toronto,,
Jeff Fletcher*,,,1,1,,1,,,,,1,,,1,,1,,,,,,1,1,1,1,,,,,,,,10,BBWAA.com/16-hof-ballots/,1/6/16,,0,13,8,8,0,0,0,19,13,0,3,0,0,0,0,16,13,10,2,0,0,0,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,LA-Anaheim,,
Carter Gaddis,,,1,,,,,,,,1,,,1,,,,1,1,,,1,,,,1,,,,,,,7,http://bit.ly/1JYmpTh,1/6/16,,0,13,0,0,0,0,0,19,13,0,0,8,4,0,0,16,0,0,0,6,0,0,0,0,79,79,,,,,,,,,,,,,,,,,,,,,,,,,Tampa,,
James Gauger*,,,1,1,,1,,,1,,1,,,1,,,,,,,,1,1,1,,1,,,,,,,10,BBWAA.com/16-hof-ballots/,1/10/16,,0,13,8,8,0,0,0,19,13,0,0,0,0,0,0,16,13,10,0,6,0,0,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Rick Gosselin,,,1,1,,1,,,,,1,,,1,,,,1,,,,1,1,,,1,,,1,,,,10,http://bit.ly/1W1bzmh,1/11/16,,0,13,8,8,0,0,0,19,13,0,0,8,0,0,0,16,13,0,0,6,0,8,0,0,98,98,,,,,,,,,,,,,,,,,,,,,,,,,Dallas,,
Karen Guregian,,,1,,,,,,,,1,,,1,,,,,,,1,1,,1,,,,,1,,,,7,Email,1/14/16,,0,13,0,0,0,0,0,19,13,0,0,0,0,0,8,16,0,10,0,0,0,8,0,0,87,87,,,,,,,,,,,,,,,,,,,,,,,,,Boston,,
Jim Hawkins*,,,,,,,,,,,1,,,1,,,,1,,,1,,1,1,,,,,1,,,,7,BBWAA.com/16-hof-ballots/,1/6/16,,0,0,0,0,0,0,0,19,13,0,0,8,0,0,8,0,13,10,0,0,0,8,0,0,79,79,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Jim Henneman*,,,1,,,,,,,,1,,,1,,,,1,,,1,1,1,,1,,,,1,1,,,10,BBWAA.com/16-hof-ballots/,1/6/16,,0,13,0,0,0,0,0,19,13,0,0,8,0,0,8,16,13,0,2,0,0,8,2,0,98,98,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Steve Henson*,,,,1,,1,,,,,1,,,,,,,1,,,1,1,1,,,,1,,1,,,,9,BBWAA.com/16-hof-ballots/,1/6/16,,0,0,8,8,0,0,0,19,0,0,0,8,0,0,8,16,13,0,0,0,1,8,0,0,88,88,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Steve Herrick*,,,1,,,,,,,,1,,,1,,,,1,,,,1,1,1,,1,,,1,,1,,10,BBWAA.com/16-hof-ballots/,1/7/16,,0,13,0,0,0,0,0,19,13,0,0,8,0,0,0,16,13,10,0,6,0,8,0,3,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Brian Heyman,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,3,DM,1/8/16,,0,0,0,0,0,0,0,19,13,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,48,48,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Joe Hoppel*,,,1,,,,,,,,1,,,1,,,,,,,,1,1,,,,,,,,,,5,BBWAA.com/16-hof-ballots/,1/6/16,,0,13,0,0,0,0,0,19,13,0,0,0,0,0,0,16,13,0,0,0,0,0,0,0,74,74,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Jeff Horrigan*,,,1,1,,1,,,,,1,,,1,,,,1,,1,,1,,1,1,,,,,,,,10,BBWAA.com/16-hof-ballots/,1/12/16,,0,13,8,8,0,0,0,19,13,0,0,8,0,2,0,16,0,10,2,0,0,0,0,0,95,95,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Alan Hoskins*,,,1,1,,1,,,,,1,,,,,,,,,1,,1,,1,,1,1,1,,,,,10,BBWAA.com/16-hof-ballots/,1/10/16,,0,13,8,8,0,0,0,19,0,0,0,0,0,2,0,16,0,10,0,6,1,0,0,0,82,82,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Gary Hyvonen*,,,,,,,,,1,,1,,,1,,,,,1,,1,,,1,,,,,1,,,,7,BBWAA.com/16-hof-ballots/,1/13/16,,0,0,0,0,0,0,0,19,13,0,0,0,4,0,8,0,0,10,0,0,0,8,0,0,62,62,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Jim Ingraham*,,,1,,,,,,,,1,,,,,,,1,1,,1,1,1,1,1,,,,1,,,,10,BBWAA.com/16-hof-ballots/,1/7/16,,0,13,0,0,0,0,0,19,0,0,0,8,4,0,8,16,13,10,2,0,0,8,0,0,95,95,,,,,,,,,,,,,,,,,,,,,,,,,Cleveland,,
Joey Johnston,,,1,1,,1,,,,,1,,,1,,,,,1,,,1,1,,1,,,,,,1,,10,http://bit.ly/1n8MrhM,1/8/16,,0,13,8,8,0,0,0,19,13,0,0,0,4,0,0,16,13,0,2,0,0,0,0,3,94,94,,,,,,,,,,,,,,,,,,,,,,,,,Tampa,,
Marc Katz,,,1,,,,,,,,1,,,1,,,,1,1,,,1,,,1,1,,,,,,,8,Email,1/8/16,,0,13,0,0,0,0,0,19,13,0,0,8,4,0,0,16,0,0,2,6,0,0,0,0,81,81,,,,,,,,,,,,,,,,,,,,,,,,,Cincinnati,,
Joe Kay*,,,1,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,4,BBWAA.com/16-hof-ballots/,1/13/16,,0,13,0,0,0,0,0,19,13,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,61,61,,,,,,,,,,,,,,,,,,,,,,,,,Cincinnati,,
Tom Keegan,,,,1,,1,,,,,1,,,,,,,1,,1,1,1,1,,,,,,1,,,,9,http://bit.ly/1OBwv1R,1/6/16,,0,0,8,8,0,0,0,19,0,0,0,8,0,2,8,16,13,0,0,0,0,8,0,0,88,88,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Ann Killion*,,,,,,,,,,,1,,,1,,,,,,,,,1,,,1,,,,,,,4,BBWAA.com/16-hof-ballots/,1/6/16,,0,0,0,0,0,0,0,19,13,0,0,0,0,0,0,0,13,0,0,6,0,0,0,0,51,51,,,,,,,,,,,,,,,,,,,,,,,,,SF-Oakland,,
Mike Klis*,,,1,,,,,,,,1,,,,,1,,1,1,,,,,1,,1,,,1,,,,8,BBWAA.com/16-hof-ballots/,1/10/16,,0,13,0,0,0,0,0,19,0,0,3,8,4,0,0,0,0,10,0,6,0,8,0,0,71,71,,,,,,,,,,,,,,,,,,,,,,,,,Colorado,,
Michael Knisley,,,,,,,,,,,1,,,1,,1,,1,,,,1,,,,1,,,,1,,,7,http://bit.ly/1Q0xARO,1/11/16,,0,0,0,0,0,0,0,19,13,0,3,8,0,0,0,16,0,0,0,6,0,0,2,0,67,67,,,,,,,,,,,,,,,,,,,,,,,,,Colorado,,
Steve Kornacki*,,,1,,,,,,1,,1,,,1,,,,,,1,,1,,1,1,,1,,1,,,,10,BBWAA.com/16-hof-ballots/,1/10/16,,0,13,0,0,0,0,0,19,13,0,0,0,0,2,0,16,0,10,2,0,1,8,0,0,83,83,,,,,,,,,,,,,,,,,,,,,,,,,Detroit,,
Ron Kroichick,,,1,,,,,,,,1,,,1,,1,,,,,1,,,,,,,,,,,,5,DM,1/8/16,,0,13,0,0,0,0,0,19,13,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,56,56,,,,,,,,,,,,,,,,,,,,,,,,,SF-Oakland,,
Bob Kuenster*,,,1,,,,,,,,1,,,1,,1,,1,1,,1,1,1,1,,,,,,,,,10,BBWAA.com/16-hof-ballots/,1/6/16,,0,13,0,0,0,0,0,19,13,0,3,8,4,0,8,16,13,10,0,0,0,0,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
David Lariviere,,,1,,,,,,,,1,,,1,,,,,1,,1,1,,,1,1,,,,,,,8,Email,1/12/16,,0,13,0,0,0,0,0,19,13,0,0,0,4,0,8,16,0,0,2,6,0,0,0,0,81,81,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Gil LeBreton,,,1,1,,1,,,,,1,,,,,,,,,,,1,1,1,,,,,,,,,7,Email,1/6/16,,0,13,8,8,0,0,0,19,0,0,0,0,0,0,0,16,13,10,0,0,0,0,0,0,87,87,,,,,,,,,,,,,,,,,,,,,,,,,Dallas,,
Seth Livingstone,,,1,1,,1,,,,,1,,,1,,,,,,1,,1,1,,,,,,,,,,8,Email,1/8/16,,0,13,8,8,0,0,0,19,13,0,0,0,0,2,0,16,13,0,0,0,0,0,0,0,92,92,,,,,,,,,,,,,,,,,,,,,,,,,Baltimore-DC,,
Bill Madden*,,,,,,,,,,,1,,,,,1,,,1,,,,,1,,,,,,,,,4,BBWAA.com/16-hof-ballots/,1/10/16,,0,0,0,0,0,0,0,19,0,0,3,0,4,0,0,0,0,10,0,0,0,0,0,0,36,36,,,,,,,,,,,,,,,,,,,,,,,,,New York,,
Mark Maloney,,,1,,,1,,,,,1,,,1,,,,,,,,1,1,1,,1,,,,,,,8,Email,1/9/16,,0,13,0,8,0,0,0,19,13,0,0,0,0,0,0,16,13,10,0,6,0,0,0,0,98,98,,,,,,,,,,,,,,,,,,,,,,,,,Baltimore-DC,,
David Maril*,,,,1,,1,,,,,1,,,,,,,,,1,1,1,,,,,1,,,,,,7,BBWAA.com/16-hof-ballots/,1/10/16,,0,0,8,8,0,0,0,19,0,0,0,0,0,2,8,16,0,0,0,0,1,0,0,0,62,62,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Art Martone,,,1,,,,,,,,1,,,,,,,1,,,1,1,,,1,,,,1,,1,,8,Email,1/15/16,,0,13,0,0,0,0,0,19,0,0,0,8,0,0,8,16,0,0,2,0,0,8,0,3,77,77,,,,,,,,,,,,,,,,,,,,,,,,,Boston,,
Jim Massie,,,1,,,,,,,,1,,,1,,,,,,,,1,1,1,,,,,,,,,6,http://bit.ly/1IT6rPg,1/7/16,,0,13,0,0,0,0,0,19,13,0,0,0,0,0,0,16,13,10,0,0,0,0,0,0,84,84,,,,,,,,,,,,,,,,,,,,,,,,,Boston,,
Warren Mayes,,,1,,,,,,,,1,,,1,,1,,1,,,,,1,1,,1,,,1,1,,,10,http://bit.ly/1PLbqks,1/6/16,,0,13,0,0,0,0,0,19,13,0,3,8,0,0,0,0,13,10,0,6,0,8,2,0,90,90,,,,,,,,,,,,,,,,,,,,,,,,,St. Louis,,
Dan McGrath*,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,3,BBWAA.com/16-hof-ballots/,1/6/16,,0,0,0,0,0,0,0,19,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,35,35,,,,,,,,,,,,,,,,,,,,,,,,,Chicago,,
John McGrath,,,1,,,,,,,,1,,,1,,,,1,1,,1,1,1,1,,,,,1,,,,10,Email,1/7/16,,0,13,0,0,0,0,0,19,13,0,0,8,4,0,8,16,13,10,0,0,0,8,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Seattle,,
Adam Mertz,,,,,,,,,,,1,,,1,,,,1,,,1,1,1,1,,1,,,,,,,8,DM,1/7/16,,0,0,0,0,0,0,0,19,13,0,0,8,0,0,8,16,13,10,0,6,0,0,0,0,93,93,,,,,,,,,,,,,,,,,,,,,,,,,Milwaukee,,
Larry Millson*,,,1,1,,1,,,,,1,,,,,,,1,1,,,1,1,,,,,,1,,1,,10,BBWAA.com/16-hof-ballots/,1/10/16,,0,13,8,8,0,0,0,19,0,0,0,8,4,0,0,16,13,0,0,0,0,8,0,3,93,93,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Fred Mitchell,,,1,,,,,,,,1,,,1,,1,,1,,,,1,1,1,1,1,,,,,,,10,http://bit.ly/1J6VvgU,1/15/16,,0,13,0,0,0,0,0,19,13,0,3,8,0,0,0,16,13,10,2,6,0,0,0,0,98,98,,,,,,,,,,,,,,,,,,,,,,,,,Chicago,,
Jim Molony,,,1,,,,,,,,1,,,1,,,,1,,,,1,1,1,,1,,,,1,,,9,Email,1/14/16,,0,13,0,0,0,0,0,19,13,0,0,8,0,0,0,16,13,10,0,6,0,0,2,0,98,98,,,,,,,,,,,,,,,,,,,,,,,,,Houston,,
Chuck Murr*,,,1,,,,,,,,1,,,,,,,1,1,,1,,1,1,,,,,,,1,,8,BBWAA.com/16-hof-ballots/,1/11/16,,0,13,0,0,0,0,0,19,0,0,0,8,4,0,8,0,13,10,0,0,0,0,0,3,78,78,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Gene Myers,,,1,,,,,,,,1,,,1,,,,1,1,,1,,1,1,,1,,,1,,,,10,http://bit.ly/1Zhg7uc,1/8/16,,0,13,0,0,0,0,0,19,13,0,0,8,4,0,8,0,13,10,0,6,0,8,0,0,92,92,,,,,,,,,,,,,,,,,,,,,,,,,Detroit,,
John Nadel*,,,1,1,,1,,,,,1,,,1,,,,1,,1,,1,1,,,1,,,,,,,10,BBWAA.com/16-hof-ballots/,1/6/16,,0,13,8,8,0,0,0,19,13,0,0,8,0,2,0,16,13,0,0,6,0,0,0,0,98,98,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
La Velle E. Neal III,,,1,,,,,,,,1,,,1,,,,1,,,1,1,1,1,,1,,,,,,,9,http://strib.mn/1MUsuzP,1/6/16,,0,13,0,0,0,0,0,19,13,0,0,8,0,0,8,16,13,10,0,6,0,0,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Minneapolis,,
Drew Olson,,,1,1,,1,,,,,1,,,1,,,,,,1,,1,1,1,,,,,1,,,,10,http://es.pn/1Z8JyZX,1/7/16,,0,13,8,8,0,0,0,19,13,0,0,0,0,2,0,16,13,10,0,0,0,8,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Milwaukee,,
Joe Ostermeier*,,,1,,,,,1,,,1,,,1,,,,1,,,,1,1,,,1,,,1,,1,,10,http://bit.ly/1PLbqks,1/6/16,,0,13,0,0,0,0,0,19,13,0,0,8,0,0,0,16,13,0,0,6,0,8,0,3,96,96,,,,,,,,,,,,,,,,,,,,,,,,,St. Louis,,
Gregg Patton*,,,1,,,,,,,,1,,,1,,1,,1,,,1,1,1,1,,,,,1,,,,10,BBWAA.com/16-hof-ballots/,1/6/16,,0,13,0,0,0,0,0,19,13,0,3,8,0,0,8,16,13,10,0,0,0,8,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Jeff Peek,,,1,,,,,,,,1,,,1,,,,1,,,1,1,1,1,,1,,,1,,,,10,Email,1/15/16,,0,13,0,0,0,0,0,19,13,0,0,8,0,0,8,16,13,10,0,6,0,8,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Detroit,,
Ed Petruska,,,1,,,,,,,,1,,,1,,,,,,,1,1,,1,1,1,,,1,,,,9,http://bit.ly/1RfczE7,1/9/16,,0,13,0,0,0,0,0,19,13,0,0,0,0,0,8,16,0,10,2,6,0,8,0,0,93,93,,,,,,,,,,,,,,,,,,,,,,,,,Arizona,,
Terry Pluto,,,1,,,,,,,,1,,,1,,,,,,,1,1,1,1,,,,,,,,,7,http://bit.ly/1OGt75Q,1/9/16,,0,13,0,0,0,0,0,19,13,0,0,0,0,0,8,16,13,10,0,0,0,0,0,0,92,92,,,,,,,,,,,,,,,,,,,,,,,,,Cleveland,,
Mark Purdy,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,1,,,,4,http://bit.ly/1kNkmKS,1/6/16,,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,13,0,0,6,0,8,0,0,46,46,,,,,,,,,,,,,,,,,,,,,,,,,SF-Oakland,,
Ray Ratto*,,,1,1,,1,,,,,1,,,,,,,,,,1,1,1,1,,,,,1,,1,,10,BBWAA.com/16-hof-ballots/,1/6/16,,0,13,8,8,0,0,0,19,0,0,0,0,0,0,8,16,13,10,0,0,0,8,0,3,95,95,,,,,,,,,,,,,,,,,,,,,,,,,SF-Oakland,,
Patrick Reusse,,,1,,,,,,,,1,,,1,,,,,,,,1,1,1,,,,,,,,,6,http://strib.mn/1MUsuzP,1/6/16,,0,13,0,0,0,0,0,19,13,0,0,0,0,0,0,16,13,10,0,0,0,0,0,0,84,84,,,,,,,,,,,,,,,,,,,,,,,,,Minneapolis,,
Dave Reynolds*,,,1,,,,,,,,1,,,1,,1,,1,,,,1,1,1,,,,,1,,1,,10,BBWAA.com/16-hof-ballots/,1/6/16,,0,13,0,0,0,0,0,19,13,0,3,8,0,0,0,16,13,10,0,0,0,8,0,3,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Chicago,,
Richard Rupprecht*,,,,1,,1,,,,,1,,,1,,1,,1,,,,1,1,1,,1,,,,,,,10,BBWAA.com/16-hof-ballots/,1/11/16,,0,0,8,8,0,0,0,19,13,0,3,8,0,0,0,16,13,10,0,6,0,0,0,0,95,95,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Tom Saladino*,,,1,,,,,,,,1,,,,,,,1,,,,1,1,,,,,,,,1,,6,BBWAA.com/16-hof-ballots/,1/10/16,,0,13,0,0,0,0,0,19,0,0,0,8,0,0,0,16,13,0,0,0,0,0,0,3,72,72,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Dick Scanlon*,,,,,,,,,,,1,,,1,,,,1,1,,,1,1,,,,,,,,,,6,BBWAA.com/16-hof-ballots/,1/6/16,,0,0,0,0,0,0,0,19,13,0,0,8,4,0,0,16,13,0,0,0,0,0,0,0,73,73,,,,,,,,,,,,,,,,,,,,,,,,,Tampa,,
Henry Schulman*,,,1,1,,1,,,,,1,,,1,,,,1,,,,1,1,,,1,,,1,,,,10,BBWAA.com/16-hof-ballots/,1/6/16,,0,13,8,8,0,0,0,19,13,0,0,8,0,0,0,16,13,0,0,6,0,8,0,0,98,98,,,,,,,,,,,,,,,,,,,,,,,,,SF-Oakland,,
Chaz Scoggins*,,,1,1,,1,1,,,,1,,,1,,,,,,1,,1,1,1,,,,,,,,,10,BBWAA.com/16-hof-ballots/,1/6/16,,0,13,8,8,0,0,0,19,13,0,0,0,0,2,0,16,13,10,0,0,0,0,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Bob Sherwin,,,1,,,,,,,,1,,,1,,,,1,,,,1,,,,,,,,,,,5,http://bit.ly/1Pgf2Ii,1/6/16,,0,13,0,0,0,0,0,19,13,0,0,8,0,0,0,16,0,0,0,0,0,0,0,0,69,69,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Jim Street,,,1,,,,,,,,1,,,1,,,,1,,,,1,1,1,,1,,,,,,,8,http://bit.ly/1Pgf2Ii,1/6/16,,0,13,0,0,0,0,0,19,13,0,0,8,0,0,0,16,13,10,0,6,0,0,0,0,98,98,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Mike Waldner*,,,,,,,,,,,1,,,1,,1,,,,,,,,,,1,,,,,,,4,BBWAA.com/16-hof-ballots/,1/6/16,,0,0,0,0,0,0,0,19,13,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,41,41,,,,,,,,,,,,,,,,,,,,,,,,,LA-Anaheim,,
James Walker*,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,1,,,,4,BBWAA.com/16-hof-ballots/,1/10/16,,0,0,0,0,0,0,0,19,13,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,48,48,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
David Wilhelm (did not vote last yr),,,1,,,,,,,,1,,,1,,,,,1,,1,1,1,,,1,,,,,1,,9,http://bit.ly/1PLbqks,1/6/16,,0,13,0,0,0,0,0,19,13,0,0,0,4,0,8,16,13,0,0,6,0,0,0,3,92,92,,,,,,,,,,,,,,,,,,,,,,,,,St. Louis,,
Bill Windler*,,,,1,,1,,,,,1,,,1,,,,,,1,1,1,1,,1,,,,1,,,,10,BBWAA.com/16-hof-ballots/,1/6/16,,0,0,8,8,0,0,0,19,13,0,0,0,0,2,8,16,13,0,2,0,0,8,0,0,93,93,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Gordon Wittenmyer*,,,,,,,,,,,1,,,,,,,1,,,1,,,1,,,,,1,,,,5,BBWAA.com/16-hof-ballots/,1/7/16,,0,0,0,0,0,0,0,19,0,0,0,8,0,0,8,0,0,10,0,0,0,8,0,0,53,53,,,,,,,,,,,,,,,,,,,,,,,,,Chicago,,
Gregg Wong*,,,1,,,,,,,,1,,,1,,,,1,,,,1,1,1,,1,,,1,1,,,10,BBWAA.com/16-hof-ballots/,1/6/16,,0,13,0,0,0,0,0,19,13,0,0,8,0,0,0,16,13,10,0,6,0,8,2,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Mark Zuckerman,,,1,,,,,,,,1,,,1,,,,1,,,,1,1,1,,,,,,1,1,,9,http://bit.ly/22LFlzY,1/6/16,,0,13,0,0,0,0,0,19,13,0,0,8,0,0,0,16,13,10,0,0,0,0,2,3,95,95,,,,,,,,,,,,,,,,,,,,,,,,,Baltimore-DC,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Additional Notes: Publicly abstained: Jim Baumbach (3rd straight year), Tim Brown (2nd straight year), Lynn Henning (2nd Straight Year), Buster Olney (2nd straight year)Confirmed to have been ""purged"" (40): Steve Aschburner*, Hal Bock, Patrick Calabria*, Dan Castellano*, Richard Chere*, Bill Christine*, Ken Daley*, Mike Deacon*, Jerry Dowling*, Mike Dyer*, Michael Gee*, Teddy Greenstein*, William Griffith*, Henry Hecht*, Phil Hersh*, Bob Hille, Sean Horgan*, Bill Kennedy, Fred Klein*, Moss Klein*, Bill Koch, Chris Long*, Cindy Rhodes Martinez, Marc Maturo*, Ivy McLemore*, Ken Kigro, Fred McMane*, Jim O'Brien, Larry Paladino, Larry Rocca*, Mark Ruda, Lisa Nehus Saxon*, Richard Shook, Art Spander*, Vito Stellino,  John Strege, Gordon Verrell, Charlie Vincent*, Russ White*, Harvey Zucker* Passed away in 2015 (5): Stan Hochman, Murray Janoff*, Norman MacLean, Phil Pepe (died 12/13/15 - did cast a 2016 ballot), Nick Peters, Bert RosenthalPossibly purged (NOT CONFIRMED) - Voted last year but not this year: Steve Adamek, Harry Atkins, Larry Babich, Howard Balzer, Ira Berkow, Joel Bierig, Frank Blackman, Brian Bragg, Gabe Buonauro, Dave Buscema, Mark Camps, Joe Carnicelli*, Mike Chesnick, Jim Cour, Blake Cullen, Dave Cunningham, Tom Cushman, Mike Davis, Joe Donnelly*, Rich Draper, Larry Eldridge, Daniel Ewald, Mike Fannin, Roger Farrell, Jim Ferguson, Ray Finocchiaro, Bud Geracie, Eddie Germano, Leslie Gibson-McCarthy, Joe Goddard, Alan Goldstein, John Gugger, Gene Guidi, Bill Halls, Kenny Hand, Mike Hart, Larry Henry, Lowell Hickey*, John Hillyer, Greg Hoard*, Myron Holtzman, Dean Howe, Bob Hunter, Rick Hurd, Jerry Izenberg, Phil Jackman, Buck Johnson, Bernie Kennedy, Mike Kiley, Ken Kraemer, Bob Kurland, Robert Kuwada, Paul Ladewski, Bud Lea, Ken Lechtanski, Bruce Lowitt, Michael A. Lutz, Michael Madden, Tom Maloney, Michael Martinez, Frank Mazzeo, Larry Merchant, Steven Meyerhhoff, Steve Milton, Kevin Modesti, Wayne Monroe, David Leon Moore, Terry Mosher, John Mossman, Blaine Newnham, Max Nichols, Gary Nuhn, Michael Paolercio, Marino Parascenzo, Tom Pedulla, Shaun Powell, Tom Powers, Ken Rappoport, Billy Rhodes, Russ Schneider, Terry Scott, Dennis Semrau, Steve Serby, Harry Shattuck, Gary Shelton, Vito Stellino, Herbert Stutz, George Sullivan, Ray Tapley, Patrick Thompson, Serge Touchette, Mike Tully, Robert Verdi, Steve Wilstein, Bob Wirz, Tom Withers, Bill Zack, Harvey Zucker2016 is final ballot before being ""purged"" (3): Frank Clines, Carter Gaddis, Mark Kreidler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
